,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Country,Development Status,status,after
0,0.9076923076923076,0.2876923076923077,1.3030769230769228,Afghanistan,0,0,0
1,0.1230769230769231,0.7546153846153848,2.0615384615384618,Albania,0,0,0
2,22.040769230769232,13.530769230769229,26.038461538461533,Algeria,0,0,1
3,1.286923076923077,2.329230769230769,3.8999999999999995,Angola,0,0,0
4,0.0,0.0,0.013076923076923076,Anguilla,0,0,0
5,0.1469230769230769,0.043846153846153854,0.10307692307692307,Antigua and Barbuda,0,0,0
6,37.06153846153847,31.592307692307692,41.139230769230764,Argentina,0,0,1
7,1.0261538461538462,1.2300000000000002,0.8861538461538461,Armenia,0,0,0
8,201.5076923076923,17.516923076923074,81.87615384615385,Australia,1,1,0
9,16.164615384615384,11.877692307692307,22.23692307692308,Austria,1,1,1
10,12.384615384615385,6.41,4.139230769230769,Azerbaijan,0,0,0
11,0.8846153846153848,0.27,0.6115384615384616,Bahamas,0,0,0
12,15.370000000000001,0.20923076923076925,2.493846153846154,Bahrain,0,0,0
13,17.178461538461537,7.660769230769231,5.524615384615386,Bangladesh,0,0,0
14,1.7015384615384614,0.1207692307692308,0.23153846153846155,Barbados,0,0,0
15,32.01615384615384,7.3246153846153845,8.772307692307693,Belarus,0,0,0
16,23.48923076923077,28.08615384615384,26.007692307692306,Belgium,1,1,1
17,0.17153846153846153,0.05461538461538463,0.11769230769230771,Belize,0,0,0
18,0.08230769230769232,0.8453846153846154,2.0707692307692307,Benin,0,0,0
19,0.15384615384615385,0.04538461538461537,0.1076923076923077,Bermuda,0,0,0
20,0.10153846153846152,0.016153846153846154,0.08230769230769232,Bhutan,0,0,0
21,1.9469230769230768,2.3307692307692305,4.223846153846154,Bolivia,0,0,0
22,11.756153846153845,1.5476923076923075,2.7546153846153847,Bosnia and Herzegovina,0,0,0
23,1.3030769230769232,0.2584615384615385,1.6361538461538463,Botswana,0,0,0
24,36.15846153846154,36.35307692307693,147.81692307692308,Brazil,0,0,1
25,2.573846153846154,0.09923076923076925,1.0446153846153847,Brunei,0,0,0
26,28.397692307692314,2.083846153846154,7.244615384615385,Bulgaria,1,1,0
27,0.27307692307692305,0.1946153846153846,0.6138461538461538,Burkina Faso,0,0,0
28,0.05846153846153848,0.04538461538461539,0.1307692307692308,Burundi,0,0,0
29,0.7899999999999999,0.33153846153846156,2.0346153846153845,Cambodia,0,0,0
30,0.5384615384615384,0.4715384615384616,2.2515384615384617,Cameroon,0,0,0
31,123.24538461538461,93.64153846153846,159.7807692307692,Canada,1,1,1
32,0.054615384615384614,0.037692307692307685,0.12153846153846153,Cape Verde,0,0,0
33,0.11769230769230768,0.033076923076923066,0.08,Cayman Islands,0,0,0
34,0.06769230769230769,0.047692307692307694,0.14846153846153845,Central African Republic,0,0,0
35,0.04615384615384616,0.03384615384615384,0.10615384615384614,Chad,0,0,0
36,19.946923076923078,5.1184615384615375,18.966923076923077,Chile,0,0,0
37,2721.8607692307696,496.86846153846153,450.41615384615386,China,0,0,0
38,7.416153846153845,6.921538461538462,21.254615384615384,Colombia,0,0,1
39,0.023076923076923075,0.01615384615384615,0.05153846153846154,Comoros,0,0,0
40,0.026153846153846153,0.01846153846153846,1.2623076923076924,Democratic Republic of the Congo,0,0,0
41,0.10076923076923078,0.07461538461538461,0.9592307692307691,Congo,0,0,0
42,0.3538461538461538,0.4923076923076923,3.9846153846153842,Costa Rica,0,0,0
43,2.3699999999999997,1.2807692307692309,1.4307692307692306,Cote d'Ivoire,0,0,0
44,4.988461538461539,3.518461538461538,5.402307692307692,Croatia,0,0,0
45,13.066923076923075,3.307692307692307,1.7584615384615385,Cuba,0,0,0
46,3.4407692307692304,0.4707692307692308,2.003846153846154,Cyprus,0,0,0
47,64.69461538461539,14.108461538461539,15.922307692307694,Czechia,1,1,0
48,23.321538461538463,6.117692307692308,12.85923076923077,Denmark,1,1,0
49,0.2823076923076923,0.21692307692307694,0.6446153846153846,Djibouti,0,0,0
50,0.02846153846153846,0.00923076923076923,0.01923076923076923,Dominica,0,0,0
51,9.15230769230769,1.3900000000000001,5.403846153846154,Dominican Republic,0,0,0
52,4.867692307692309,4.523846153846154,10.392307692307694,Ecuador,0,0,1
53,51.7823076923077,17.403846153846153,36.386153846153846,Egypt,0,0,0
54,1.4961538461538462,0.5253846153846154,2.852307692307692,El Salvador,0,0,0
55,0.12307692307692308,0.04846153846153846,0.16615384615384615,Equatorial Guinea,0,0,0
56,0.27153846153846156,0.07461538461538463,0.1846153846153846,Eritrea,0,0,0
57,12.575384615384614,0.673846153846154,2.1423076923076922,Estonia,1,1,0
58,0.17153846153846153,1.276923076923077,2.4538461538461536,Ethiopia,0,0,0
59,0.6392307692307692,0.12769230769230772,0.6300000000000001,Fiji,0,0,0
60,28.825384615384618,5.5746153846153845,12.33846153846154,Finland,1,1,0
61,50.10769230769232,101.77076923076923,128.86384615384617,France and Monaco,1,1,1
62,0.3061538461538461,0.06692307692307692,0.35461538461538455,French Polynesia,0,0,0
63,0.6123076923076923,0.22615384615384615,0.4530769230769231,Gabon,0,0,0
64,0.06999999999999999,0.04923076923076924,0.15538461538461534,Gambia,0,0,0
65,1.0130769230769232,1.0623076923076924,1.679230769230769,Georgia,0,0,0
66,346.29538461538453,157.90076923076924,156.78230769230768,Germany,1,1,0
67,1.788461538461538,0.8669230769230769,4.121538461538462,Ghana,0,0,0
68,45.25153846153846,12.010769230769231,21.01846153846154,Greece,1,1,0
